file,k,dist,tight,seed,opt
instances/k10_uniform_loose_s1.txt,10,uniform,loose,1,68.6926
instances/k10_uniform_loose_s2.txt,10,uniform,loose,2,76.4595
instances/k10_uniform_loose_s3.txt,10,uniform,loose,3,68.3211
instances/k10_uniform_loose_s4.txt,10,uniform,loose,4,66.6641
instances/k10_uniform_tight_s0.txt,10,uniform,tight,0,106.9349
instances/k10_uniform_tight_s1.txt,10,uniform,tight,1,113.9893
instances/k10_uniform_tight_s2.txt,10,uniform,tight,2,87.4648
instances/k10_uniform_tight_s3.txt,10,uniform,tight,3,80.0852
instances/k10_uniform_tight_s4.txt,10,uniform,tight,4,126.0282
instances/k10_clustered_loose_s0.txt,10,clustered,loose,0,34.3283
instances/k10_clustered_loose_s1.txt,10,clustered,loose,1,38.818
instances/k10_clustered_loose_s2.txt,10,clustered,loose,2,45.9245
instances/k10_clustered_loose_s3.txt,10,clustered,loose,3,47.9461
instances/k10_clustered_loose_s4.txt,10,clustered,loose,4,39.2072
instances/k10_clustered_tight_s0.txt,10,clustered,tight,0,73.6906
instances/k10_clustered_tight_s1.txt,10,clustered,tight,1,35.1304
instances/k10_clustered_tight_s2.txt,10,clustered,tight,2,55.3994
instances/k10_clustered_tight_s3.txt,10,clustered,tight,3,68.6424
instances/k10_clustered_tight_s4.txt,10,clustered,tight,4,54.9076
instances/k10_linear_loose_s0.txt,10,linear,loose,0,41.2731
instances/k10_linear_loose_s1.txt,10,linear,loose,1,38.24
instances/k10_linear_loose_s2.txt,10,linear,loose,2,44.4966
instances/k10_linear_loose_s3.txt,10,linear,loose,3,51.4185
instances/k10_linear_loose_s4.txt,10,linear,loose,4,41.8814
instances/k10_linear_tight_s0.txt,10,linear,tight,0,48.8662
instances/k10_linear_tight_s1.txt,10,linear,tight,1,67.9418
instances/k10_linear_tight_s2.txt,10,linear,tight,2,53.2385
instances/k10_linear_tight_s3.txt,10,linear,tight,3,51.2669
instances/k10_linear_tight_s4.txt,10,linear,tight,4,64.9148
instances/k10_spiral_loose_s0.txt,10,spiral,loose,0,66.1237
instances/k10_spiral_loose_s1.txt,10,spiral,loose,1,66.4878
instances/k10_spiral_loose_s2.txt,10,spiral,loose,2,66.8472
instances/k10_spiral_loose_s3.txt,10,spiral,loose,3,65.5742
instances/k10_spiral_loose_s4.txt,10,spiral,loose,4,67.025
instances/k10_spiral_tight_s0.txt,10,spiral,tight,0,93.6355
instances/k10_spiral_tight_s1.txt,10,spiral,tight,1,85.1359
instances/k10_spiral_tight_s2.txt,10,spiral,tight,2,84.8476
instances/k10_spiral_tight_s3.txt,10,spiral,tight,3,83.0189
instances/k10_spiral_tight_s4.txt,10,spiral,tight,4,86.1618
instances/k10_sparse_loose_s0.txt,10,sparse,loose,0,143.0806
instances/k10_sparse_loose_s1.txt,10,sparse,loose,1,208.6533
instances/k10_sparse_loose_s2.txt,10,sparse,loose,2,191.4039
instances/k10_sparse_loose_s3.txt,10,sparse,loose,3,221.3211
instances/k10_sparse_loose_s4.txt,10,sparse,loose,4,135.0141
instances/k10_sparse_tight_s0.txt,10,sparse,tight,0,328.6443
instances/k10_sparse_tight_s1.txt,10,sparse,tight,1,435.6493
instances/k10_sparse_tight_s2.txt,10,sparse,tight,2,211.2021
instances/k10_sparse_tight_s3.txt,10,sparse,tight,3,298.3421
instances/k10_sparse_tight_s4.txt,10,sparse,tight,4,271.1842
instances/k12_uniform_loose_s0.txt,12,uniform,loose,0,67.8351
instances/k12_uniform_loose_s1.txt,12,uniform,loose,1,69.5628
instances/k12_uniform_loose_s2.txt,12,uniform,loose,2,62.1957
instances/k12_uniform_loose_s3.txt,12,uniform,loose,3,77.6587
instances/k12_uniform_loose_s4.txt,12,uniform,loose,4,69.1227
instances/k12_uniform_tight_s0.txt,12,uniform,tight,0,87.6919
instances/k12_uniform_tight_s1.txt,12,uniform,tight,1,88.5969
instances/k12_uniform_tight_s2.txt,12,uniform,tight,2,120.9431
instances/k12_uniform_tight_s3.txt,12,uniform,tight,3,98.0755
instances/k12_uniform_tight_s4.txt,12,uniform,tight,4,146.077
instances/k12_clustered_loose_s0.txt,12,clustered,loose,0,42.8567
instances/k12_clustered_loose_s1.txt,12,clustered,loose,1,39.1757
instances/k12_clustered_loose_s2.txt,12,clustered,loose,2,56.6435
instances/k12_clustered_loose_s3.txt,12,clustered,loose,3,47.0614
instances/k12_clustered_loose_s4.txt,12,clustered,loose,4,26.8759
instances/k12_clustered_tight_s0.txt,12,clustered,tight,0,73.7765
instances/k12_clustered_tight_s1.txt,12,clustered,tight,1,92.6883
instances/k12_clustered_tight_s2.txt,12,clustered,tight,2,76.0311
instances/k12_clustered_tight_s3.txt,12,clustered,tight,3,58.1379
instances/k12_clustered_tight_s4.txt,12,clustered,tight,4,63.8565
instances/k12_linear_loose_s0.txt,12,linear,loose,0,48.5913
instances/k12_linear_loose_s1.txt,12,linear,loose,1,46.3342
instances/k12_linear_loose_s2.txt,12,linear,loose,2,46.5235
instances/k12_linear_loose_s3.txt,12,linear,loose,3,46.2701
instances/k12_linear_loose_s4.txt,12,linear,loose,4,45.2933
instances/k12_linear_tight_s0.txt,12,linear,tight,0,71.8742
instances/k12_linear_tight_s1.txt,12,linear,tight,1,109.2794
instances/k12_linear_tight_s2.txt,12,linear,tight,2,90.3825
instances/k12_linear_tight_s3.txt,12,linear,tight,3,61.3711
instances/k12_linear_tight_s4.txt,12,linear,tight,4,66.6144
instances/k12_spiral_loose_s0.txt,12,spiral,loose,0,74.9602
instances/k12_spiral_loose_s1.txt,12,spiral,loose,1,73.0273
instances/k12_spiral_loose_s2.txt,12,spiral,loose,2,77.1661
instances/k12_spiral_loose_s3.txt,12,spiral,loose,3,73.6835
instances/k12_spiral_loose_s4.txt,12,spiral,loose,4,74.2092
instances/k12_spiral_tight_s0.txt,12,spiral,tight,0,98.6358
instances/k12_spiral_tight_s1.txt,12,spiral,tight,1,85.0683
instances/k12_spiral_tight_s2.txt,12,spiral,tight,2,99.9241
instances/k12_spiral_tight_s3.txt,12,spiral,tight,3,94.3831
instances/k12_spiral_tight_s4.txt,12,spiral,tight,4,83.5607
instances/k12_sparse_loose_s0.txt,12,sparse,loose,0,241.9015
instances/k12_sparse_loose_s1.txt,12,sparse,loose,1,216.3868
instances/k12_sparse_loose_s2.txt,12,sparse,loose,2,217.6739
instances/k12_sparse_loose_s3.txt,12,sparse,loose,3,209.6761
instances/k12_sparse_loose_s4.txt,12,sparse,loose,4,226.2229
instances/k12_sparse_tight_s0.txt,12,sparse,tight,0,397.2023
instances/k12_sparse_tight_s1.txt,12,sparse,tight,1,364.8774
instances/k12_sparse_tight_s2.txt,12,sparse,tight,2,381.9954
instances/k12_sparse_tight_s3.txt,12,sparse,tight,3,393.0083
instances/k12_sparse_tight_s4.txt,12,sparse,tight,4,328.5463
instances/k14_uniform_loose_s0.txt,14,uniform,loose,0,79.0331
instances/k14_uniform_loose_s1.txt,14,uniform,loose,1,77.7462
instances/k14_uniform_loose_s2.txt,14,uniform,loose,2,73.0104
instances/k14_uniform_loose_s3.txt,14,uniform,loose,3,74.2634
instances/k14_uniform_loose_s4.txt,14,uniform,loose,4,90.9485
instances/k14_uniform_tight_s0.txt,14,uniform,tight,0,121.854
instances/k14_uniform_tight_s1.txt,14,uniform,tight,1,111.5686
instances/k14_uniform_tight_s2.txt,14,uniform,tight,2,124.0728
instances/k14_uniform_tight_s3.txt,14,uniform,tight,3,148.7776
instances/k14_uniform_tight_s4.txt,14,uniform,tight,4,116.2743
instances/k14_clustered_loose_s0.txt,14,clustered,loose,0,56.6051
instances/k14_clustered_loose_s1.txt,14,clustered,loose,1,48.1911
instances/k14_clustered_loose_s2.txt,14,clustered,loose,2,55.4076
instances/k14_clustered_loose_s3.txt,14,clustered,loose,3,55.0789
instances/k14_clustered_loose_s4.txt,14,clustered,loose,4,52.5924
instances/k14_clustered_tight_s0.txt,14,clustered,tight,0,126.8488
instances/k14_clustered_tight_s1.txt,14,clustered,tight,1,74.1878
instances/k14_clustered_tight_s2.txt,14,clustered,tight,2,97.2628
instances/k14_clustered_tight_s3.txt,14,clustered,tight,3,211.1733
instances/k14_clustered_tight_s4.txt,14,clustered,tight,4,87.5887
instances/k14_linear_loose_s0.txt,14,linear,loose,0,54.5816
instances/k14_linear_loose_s1.txt,14,linear,loose,1,51.0621
instances/k14_linear_loose_s2.txt,14,linear,loose,2,51.7071
instances/k14_linear_loose_s3.txt,14,linear,loose,3,53.9045
instances/k14_linear_loose_s4.txt,14,linear,loose,4,42.4752
instances/k14_linear_tight_s0.txt,14,linear,tight,0,106.8594
instances/k14_linear_tight_s1.txt,14,linear,tight,1,58.1724
instances/k14_linear_tight_s2.txt,14,linear,tight,2,58.2037
instances/k14_linear_tight_s3.txt,14,linear,tight,3,61.2894
instances/k14_linear_tight_s4.txt,14,linear,tight,4,65.4487
instances/k14_spiral_loose_s0.txt,14,spiral,loose,0,81.103
instances/k14_spiral_loose_s1.txt,14,spiral,loose,1,81.5323
instances/k14_spiral_loose_s2.txt,14,spiral,loose,2,79.1093
instances/k14_spiral_loose_s3.txt,14,spiral,loose,3,79.1557
instances/k14_spiral_loose_s4.txt,14,spiral,loose,4,83.0563
instances/k14_spiral_tight_s0.txt,14,spiral,tight,0,96.9149
instances/k14_spiral_tight_s1.txt,14,spiral,tight,1,110.993
instances/k14_spiral_tight_s2.txt,14,spiral,tight,2,126.4837
instances/k14_spiral_tight_s3.txt,14,spiral,tight,3,108.8775
instances/k14_spiral_tight_s4.txt,14,spiral,tight,4,108.013
instances/k14_sparse_loose_s0.txt,14,sparse,loose,0,210.4789
instances/k14_sparse_loose_s1.txt,14,sparse,loose,1,259.6381
instances/k14_sparse_loose_s2.txt,14,sparse,loose,2,232.5326
instances/k14_sparse_loose_s3.txt,14,sparse,loose,3,219.1944
instances/k14_sparse_loose_s4.txt,14,sparse,loose,4,187.9599
instances/k14_sparse_tight_s0.txt,14,sparse,tight,0,356.1373
instances/k14_sparse_tight_s1.txt,14,sparse,tight,1,250.2971
instances/k14_sparse_tight_s2.txt,14,sparse,tight,2,425.2276
instances/k14_sparse_tight_s3.txt,14,sparse,tight,3,579.7077
instances/k14_sparse_tight_s4.txt,14,sparse,tight,4,490.2269
instances/k16_uniform_loose_s0.txt,16,uniform,loose,0,87.1403
instances/k16_uniform_loose_s1.txt,16,uniform,loose,1,81.9239
instances/k16_uniform_loose_s2.txt,16,uniform,loose,2,91.0582
instances/k16_uniform_loose_s3.txt,16,uniform,loose,3,96.2265
instances/k16_uniform_loose_s4.txt,16,uniform,loose,4,87.4359
instances/k16_uniform_tight_s0.txt,16,uniform,tight,0,214.7483
instances/k16_uniform_tight_s1.txt,16,uniform,tight,1,120.86
instances/k16_uniform_tight_s2.txt,16,uniform,tight,2,153.9943
instances/k16_uniform_tight_s3.txt,16,uniform,tight,3,182.076
instances/k16_uniform_tight_s4.txt,16,uniform,tight,4,126.0375
instances/k16_clustered_loose_s0.txt,16,clustered,loose,0,68.2851
instances/k16_clustered_loose_s1.txt,16,clustered,loose,1,69.2864
instances/k16_clustered_loose_s2.txt,16,clustered,loose,2,59.6874
instances/k16_clustered_loose_s3.txt,16,clustered,loose,3,65.6758
instances/k16_clustered_loose_s4.txt,16,clustered,loose,4,83.0809
instances/k16_clustered_tight_s0.txt,16,clustered,tight,0,162.4426
instances/k16_clustered_tight_s1.txt,16,clustered,tight,1,84.1349
instances/k16_clustered_tight_s2.txt,16,clustered,tight,2,89.2513
instances/k16_clustered_tight_s3.txt,16,clustered,tight,3,79.3771
instances/k16_clustered_tight_s4.txt,16,clustered,tight,4,93.0009
instances/k16_linear_loose_s0.txt,16,linear,loose,0,46.0778
instances/k16_linear_loose_s1.txt,16,linear,loose,1,50.8667
instances/k16_linear_loose_s2.txt,16,linear,loose,2,51.9135
instances/k16_linear_loose_s3.txt,16,linear,loose,3,46.3133
instances/k16_linear_loose_s4.txt,16,linear,loose,4,52.7523
instances/k16_linear_tight_s0.txt,16,linear,tight,0,68.0814
instances/k16_linear_tight_s1.txt,16,linear,tight,1,68.0946
instances/k16_linear_tight_s2.txt,16,linear,tight,2,83.6466
instances/k16_linear_tight_s3.txt,16,linear,tight,3,66.5164
instances/k16_linear_tight_s4.txt,16,linear,tight,4,74.457
instances/k16_spiral_loose_s0.txt,16,spiral,loose,0,83.7221
instances/k16_spiral_loose_s1.txt,16,spiral,loose,1,85.9106
instances/k16_spiral_loose_s2.txt,16,spiral,loose,2,85.2146
instances/k16_spiral_loose_s3.txt,16,spiral,loose,3,84.2133
instances/k16_spiral_loose_s4.txt,16,spiral,loose,4,85.3869
instances/k16_spiral_tight_s0.txt,16,spiral,tight,0,155.5816
instances/k16_spiral_tight_s1.txt,16,spiral,tight,1,145.9143
instances/k16_spiral_tight_s2.txt,16,spiral,tight,2,111.8281
instances/k16_spiral_tight_s3.txt,16,spiral,tight,3,138.1963
instances/k16_spiral_tight_s4.txt,16,spiral,tight,4,115.4743
instances/k16_sparse_loose_s0.txt,16,sparse,loose,0,235.7705
instances/k16_sparse_loose_s1.txt,16,sparse,loose,1,224.1541
instances/k16_sparse_loose_s2.txt,16,sparse,loose,2,301.1879
instances/k16_sparse_loose_s3.txt,16,sparse,loose,3,254.0498
instances/k16_sparse_loose_s4.txt,16,sparse,loose,4,263.0604
instances/k16_sparse_tight_s0.txt,16,sparse,tight,0,463.4989
instances/k16_sparse_tight_s1.txt,16,sparse,tight,1,532.7334
instances/k16_sparse_tight_s2.txt,16,sparse,tight,2,518.5222
instances/k16_sparse_tight_s3.txt,16,sparse,tight,3,430.593
instances/k16_sparse_tight_s4.txt,16,sparse,tight,4,359.1213
instances/k18_uniform_loose_s0.txt,18,uniform,loose,0,88.9862
instances/k18_uniform_loose_s1.txt,18,uniform,loose,1,89.6782
instances/k18_uniform_loose_s2.txt,18,uniform,loose,2,88.6434
instances/k18_uniform_loose_s3.txt,18,uniform,loose,3,95.0802
instances/k18_uniform_loose_s4.txt,18,uniform,loose,4,105.9666
instances/k18_uniform_tight_s0.txt,18,uniform,tight,0,132.9123
instances/k18_uniform_tight_s1.txt,18,uniform,tight,1,151.0062
instances/k18_uniform_tight_s2.txt,18,uniform,tight,2,183.4079
instances/k18_uniform_tight_s3.txt,18,uniform,tight,3,103.8986
instances/k18_uniform_tight_s4.txt,18,uniform,tight,4,179.9383
instances/k18_clustered_loose_s0.txt,18,clustered,loose,0,70.4332
instances/k18_clustered_loose_s1.txt,18,clustered,loose,1,62.0249
instances/k18_clustered_loose_s2.txt,18,clustered,loose,2,73.2006
instances/k18_clustered_loose_s3.txt,18,clustered,loose,3,59.9166
instances/k18_clustered_loose_s4.txt,18,clustered,loose,4,84.9528
instances/k18_clustered_tight_s0.txt,18,clustered,tight,0,132.3161
instances/k18_clustered_tight_s1.txt,18,clustered,tight,1,69.0929
instances/k18_clustered_tight_s2.txt,18,clustered,tight,2,117.7359
instances/k18_clustered_tight_s3.txt,18,clustered,tight,3,90.2748
instances/k18_clustered_tight_s4.txt,18,clustered,tight,4,99.183
instances/k18_linear_loose_s0.txt,18,linear,loose,0,56.25
instances/k18_linear_loose_s1.txt,18,linear,loose,1,57.855
instances/k18_linear_loose_s2.txt,18,linear,loose,2,57.8938
instances/k18_linear_loose_s3.txt,18,linear,loose,3,46.9945
instances/k18_linear_loose_s4.txt,18,linear,loose,4,53.1943
instances/k18_linear_tight_s0.txt,18,linear,tight,0,78.5569
instances/k18_linear_tight_s1.txt,18,linear,tight,1,150.4413
instances/k18_linear_tight_s2.txt,18,linear,tight,2,71.7503
instances/k18_linear_tight_s3.txt,18,linear,tight,3,71.6704
instances/k18_linear_tight_s4.txt,18,linear,tight,4,87.0569
instances/k18_spiral_loose_s0.txt,18,spiral,loose,0,87.7635
instances/k18_spiral_loose_s1.txt,18,spiral,loose,1,88.9531
instances/k18_spiral_loose_s2.txt,18,spiral,loose,2,88.7098
instances/k18_spiral_loose_s3.txt,18,spiral,loose,3,88.6076
instances/k18_spiral_loose_s4.txt,18,spiral,loose,4,88.3154
instances/k18_spiral_tight_s0.txt,18,spiral,tight,0,104.2999
instances/k18_spiral_tight_s1.txt,18,spiral,tight,1,144.9149
instances/k18_spiral_tight_s2.txt,18,spiral,tight,2,126.1439
instances/k18_spiral_tight_s3.txt,18,spiral,tight,3,127.9144
instances/k18_spiral_tight_s4.txt,18,spiral,tight,4,110.4109
instances/k18_sparse_loose_s0.txt,18,sparse,loose,0,223.4775
instances/k18_sparse_loose_s1.txt,18,sparse,loose,1,261.1064
instances/k18_sparse_loose_s2.txt,18,sparse,loose,2,265.1977
instances/k18_sparse_loose_s3.txt,18,sparse,loose,3,240.7499
instances/k18_sparse_loose_s4.txt,18,sparse,loose,4,248.8656
instances/k18_sparse_tight_s0.txt,18,sparse,tight,0,432.9664
instances/k18_sparse_tight_s1.txt,18,sparse,tight,1,487.1159
instances/k18_sparse_tight_s2.txt,18,sparse,tight,2,518.0535
instances/k18_sparse_tight_s3.txt,18,sparse,tight,3,570.8538
instances/k18_sparse_tight_s4.txt,18,sparse,tight,4,632.5155
